日期,医生等级,每日病例量,每日总费用,每日费用病例比,该等级医生数量,工作日/周末
2025-10-24,初级,6.33,3182.67,502.53,3,工作日
2025-10-24,预备,2.2,890.0,404.55,5,工作日
2025-10-24,高级,18.0,9932.0,551.78,1,工作日
2025-10-25,中级,22.67,11752.0,518.47,3,周末
2025-10-25,初级,13.0,6300.0,484.62,1,周末
2025-10-25,预备,3.0,730.0,243.33,2,周末
2025-10-25,高级,20.0,9579.0,478.95,2,周末
2025-10-26,中级,19.5,9509.0,487.64,2,周末
2025-10-26,初级,13.0,6629.0,509.92,2,周末
2025-10-26,预备,2.33,1106.67,474.29,3,周末
2025-10-26,高级,13.75,7721.75,561.58,4,周末
2025-10-27,中级,21.0,10581.33,503.87,3,工作日
2025-10-27,初级,9.67,6439.33,666.14,3,工作日
2025-10-27,预备,4.25,2007.5,472.35,4,工作日
2025-10-27,高级,17.5,8107.0,463.26,2,工作日
2025-10-28,中级,14.75,6669.0,452.14,4,工作日
2025-10-28,初级,11.33,6132.67,541.12,3,工作日
2025-10-28,预备,2.67,1080.0,405.0,3,工作日
2025-10-28,高级,16.0,9149.0,571.81,2,工作日
2025-10-29,中级,15.0,7422.67,494.84,3,工作日
2025-10-29,初级,8.0,4823.33,602.92,3,工作日
2025-10-29,预备,2.67,1090.0,408.75,3,工作日
2025-10-29,高级,10.67,5488.0,514.5,3,工作日
2025-10-30,中级,13.5,7301.0,540.81,4,工作日
2025-10-30,初级,11.0,6019.0,547.18,2,工作日
2025-10-30,预备,3.6,1622.0,450.56,5,工作日
2025-10-30,高级,10.0,4772.0,477.2,3,工作日
2025-10-31,中级,16.33,9388.67,574.82,3,工作日
2025-10-31,初级,11.0,5309.0,482.64,2,工作日
2025-10-31,预备,2.75,1242.5,451.82,4,工作日
2025-10-31,高级,14.5,7806.0,538.34,2,工作日
2025-11-01,中级,18.5,9503.0,513.68,2,周末
2025-11-01,初级,12.0,6750.0,562.5,3,周末
2025-11-01,预备,4.0,1400.0,350.0,1,周末
2025-11-01,高级,18.0,9826.0,545.89,2,周末
2025-11-02,中级,9.33,4761.33,510.14,3,周末
2025-11-02,初级,14.5,5910.0,407.59,2,周末
2025-11-02,预备,4.25,1637.5,385.29,4,周末
2025-11-02,高级,12.75,6943.75,544.61,4,周末
2025-11-03,中级,11.67,5475.33,469.31,3,工作日
2025-11-03,初级,7.25,3967.0,547.17,4,工作日
2025-11-03,预备,2.25,885.0,393.33,4,工作日
2025-11-03,高级,11.0,5835.33,530.48,3,工作日
2025-11-04,中级,15.0,7956.5,530.43,4,工作日
2025-11-04,初级,10.25,5625.0,548.78,4,工作日
2025-11-04,预备,3.0,1010.0,336.67,4,工作日
2025-11-04,高级,16.0,7421.0,463.81,2,工作日
2025-11-05,中级,17.25,8552.25,495.78,4,工作日
2025-11-05,初级,5.5,2840.0,516.36,2,工作日
2025-11-05,预备,4.0,2150.0,537.5,3,工作日
2025-11-05,高级,13.0,6495.0,499.62,1,工作日
2025-11-06,中级,19.0,9743.33,512.81,3,工作日
2025-11-06,初级,13.0,6405.0,492.69,2,工作日
2025-11-06,预备,3.5,1760.0,502.86,2,工作日
2025-11-06,高级,18.0,9631.0,535.06,2,工作日
2025-11-07,中级,15.5,7752.5,500.16,4,工作日
2025-11-07,初级,13.5,6770.0,501.48,2,工作日
2025-11-07,预备,3.0,670.0,223.33,1,工作日
2025-11-07,高级,19.0,9988.0,525.68,1,工作日
2025-11-08,中级,24.0,12198.0,508.25,2,周末
2025-11-08,初级,12.5,7017.5,561.4,4,周末
2025-11-08,预备,3.0,1415.0,471.67,2,周末
2025-11-08,高级,12.67,6988.33,551.71,3,周末
2025-11-09,中级,16.0,8150.5,509.41,2,周末
2025-11-09,初级,13.33,6840.0,513.0,3,周末
2025-11-09,预备,3.5,1692.5,483.57,4,周末
2025-11-09,高级,13.75,7537.25,548.16,4,周末
2025-11-10,中级,14.67,7972.33,543.57,3,工作日
2025-11-10,初级,16.67,8373.33,502.4,3,工作日
2025-11-10,预备,4.67,2630.0,563.57,3,工作日
2025-11-10,高级,6.0,3290.0,548.33,2,工作日
2025-11-11,中级,17.5,9086.0,519.2,4,工作日
2025-11-11,初级,8.0,3816.67,477.08,3,工作日
2025-11-11,预备,2.5,1187.5,475.0,4,工作日
2025-11-11,高级,10.0,5282.67,528.27,3,工作日
2025-11-12,中级,16.33,9186.0,562.41,3,工作日
2025-11-12,初级,9.5,5162.5,543.42,4,工作日
2025-11-12,预备,2.33,986.67,422.86,3,工作日
2025-11-12,高级,26.0,13008.0,500.31,1,工作日
2025-11-13,中级,20.67,9803.33,474.35,3,工作日
2025-11-13,初级,13.67,7075.33,517.71,3,工作日
2025-11-13,预备,2.25,710.0,315.56,4,工作日
2025-11-13,高级,26.0,13329.0,512.65,1,工作日
2025-11-14,中级,18.0,8823.0,490.17,2,工作日
2025-11-14,初级,9.67,5603.33,579.66,3,工作日
2025-11-14,预备,3.0,1563.33,521.11,3,工作日
2025-11-14,高级,16.0,8938.0,558.62,2,工作日
2025-11-15,中级,19.0,8088.0,425.68,2,周末
2025-11-15,初级,10.5,5124.5,488.05,4,周末
2025-11-15,预备,4.67,2020.0,432.86,3,周末
2025-11-15,高级,14.75,6951.0,471.25,4,周末
2025-11-16,中级,18.5,9107.0,492.27,2,周末
2025-11-16,初级,15.0,7324.67,488.31,3,周末
2025-11-16,预备,6.0,2753.33,458.89,3,周末
2025-11-16,高级,21.33,10672.33,500.27,3,周末
2025-11-17,中级,19.67,10067.0,511.88,3,工作日
2025-11-17,初级,13.0,6530.0,502.31,3,工作日
2025-11-17,预备,2.0,620.0,310.0,2,工作日
2025-11-17,高级,11.5,6758.5,587.7,2,工作日
2025-11-18,中级,12.2,6051.8,496.05,5,工作日
2025-11-18,初级,13.5,6775.0,501.85,2,工作日
2025-11-18,预备,6.5,3610.0,555.38,4,工作日
2025-11-18,高级,8.0,4020.0,502.5,3,工作日
2025-11-19,中级,15.0,6848.0,456.53,4,工作日
2025-11-19,初级,11.0,5056.67,459.7,3,工作日
2025-11-19,预备,3.5,1667.5,476.43,4,工作日
2025-11-19,高级,18.0,8644.0,480.22,1,工作日
2025-11-20,中级,20.0,9428.0,471.4,3,工作日
2025-11-20,初级,13.5,7754.0,574.37,2,工作日
2025-11-20,预备,4.5,2470.0,548.89,2,工作日
2025-11-20,高级,17.0,8732.0,513.65,1,工作日
2025-11-21,中级,20.67,10540.0,510.0,3,工作日
2025-11-21,初级,12.5,7553.0,604.24,2,工作日
2025-11-21,预备,5.33,3073.33,576.25,3,工作日
2025-11-21,高级,6.5,3344.0,514.46,2,工作日
2025-11-22,中级,15.33,8199.33,534.74,3,周末
2025-11-22,初级,11.5,6030.0,524.35,2,周末
2025-11-22,高级,13.0,6453.5,496.42,4,周末
2025-11-23,中级,14.0,6558.0,468.43,3,周末
2025-11-23,初级,14.0,7016.67,501.19,3,周末
2025-11-23,预备,5.4,2422.8,448.67,5,周末
2025-11-23,高级,14.75,7364.25,499.27,4,周末
2025-11-24,中级,18.0,9889.33,549.41,3,工作日
2025-11-24,初级,9.67,4476.67,463.1,3,工作日
2025-11-24,预备,3.75,1722.5,459.33,4,工作日
2025-11-24,高级,15.0,7678.0,511.87,1,工作日
2025-11-25,中级,16.33,8692.0,532.16,3,工作日
2025-11-25,初级,12.0,6575.0,547.92,2,工作日
2025-11-25,预备,4.75,2775.0,584.21,4,工作日
2025-11-25,高级,20.0,10628.0,531.4,1,工作日
2025-11-26,中级,12.25,7009.0,572.16,4,工作日
2025-11-26,初级,10.33,5946.67,575.48,3,工作日
2025-11-26,预备,3.67,2330.0,635.45,3,工作日
2025-11-26,高级,18.0,7956.0,442.0,1,工作日
2025-11-27,中级,19.0,9770.0,514.21,3,工作日
2025-11-27,初级,12.5,5954.0,476.32,2,工作日
2025-11-27,预备,5.5,2833.5,515.18,4,工作日
2025-11-27,高级,15.0,7762.0,517.47,1,工作日
2025-11-28,中级,18.67,10248.0,549.0,3,工作日
2025-11-28,初级,10.67,6116.67,573.44,3,工作日
2025-11-28,预备,4.4,2686.0,610.45,5,工作日
2025-11-28,高级,22.0,10368.0,471.27,1,工作日
2025-11-29,中级,20.5,10895.0,531.46,2,周末
2025-11-29,初级,16.5,8204.0,497.21,2,周末
2025-11-29,预备,7.0,3890.0,555.71,2,周末
2025-11-29,高级,21.0,10966.0,522.19,3,周末
2025-11-30,中级,13.67,6888.67,504.05,3,周末
2025-11-30,初级,13.0,7310.0,562.31,3,周末
2025-11-30,预备,4.0,1810.0,452.5,3,周末
2025-11-30,高级,13.2,7542.2,571.38,5,周末
2025-12-01,中级,11.75,6166.5,524.81,4,工作日
2025-12-01,初级,10.67,6043.33,566.56,3,工作日
2025-12-01,预备,5.33,2643.33,495.63,3,工作日
2025-12-01,高级,7.5,4535.0,604.67,2,工作日
2025-12-02,中级,15.67,8331.33,531.79,3,工作日
2025-12-02,初级,10.67,5816.0,545.25,3,工作日
2025-12-02,预备,6.75,3960.0,586.67,4,工作日
2025-12-02,高级,18.0,9710.0,539.44,1,工作日
2025-12-03,中级,14.25,7046.0,494.46,4,工作日
2025-12-03,初级,9.67,4890.0,505.86,3,工作日
2025-12-03,预备,5.0,2262.5,452.5,4,工作日
2025-12-03,高级,13.0,6797.0,522.85,2,工作日
2025-12-04,中级,20.33,10419.33,512.43,3,工作日
